restaurant_id,name,city,area,address,latitude,longitude,location_source,location_precision,cuisines,rest_type,cost_for_two_inr,price_tier,rating,review_count,online_order,book_table,dish_liked
8923,Domino's Pizza,Bengaluru,Sarjapur Road,"RGA Tech Park, Counter 7, Lower Ground Floor, Food Court, Survey 31/1, Chikkakannelli Village, Sarjapur Road, Bangalore",12.911,77.685,Bengaluru locality centroid,locality-level,"Pizza, Fast Food",Quick Bites,400,Moderate,3.4,6,True,False,
8924,Indira Darshini,Bengaluru,Cunningham Road,"30, Leemans Complex, Cunningham Road, Bangalore",12.988,77.596,Bengaluru locality centroid,locality-level,"South Indian, Chinese",Quick Bites,200,Budget,3.1,6,False,False,
8925,Biriyani Adda,Bengaluru,Bellandur,"Shop 61, Green Glen Layout, Bellandur, Bangalore",12.9304,77.6784,Bengaluru locality centroid,locality-level,"Biryani, Fast Food",Quick Bites,350,Budget,3.2,6,True,False,
8926,Sri Ganesh Juice Junction,Bengaluru,Bellandur,"Opposite Banglore Central Mall, Bellandur, Bengaluru",12.9304,77.6784,Bengaluru locality centroid,locality-level,"Juices, Fast Food",Beverage Shop,200,Budget,3.5,6,True,False,
8927,Ustaad Biryani,Bengaluru,Bellandur,"First Floor, Behind Ravindu Toyota Showroom, Bellandur, Bangalore",12.9304,77.6784,Bengaluru locality centroid,locality-level,Biryani,Delivery,250,Budget,3.2,6,True,False,
8928,Donne Biriyani Mane,Bengaluru,Bannerghatta Road,"No. 357/9, Opp DLF, New Town, Akshay Nagar, Bannerghatta Road, Bangalore",12.8906,77.596,Bengaluru locality centroid,locality-level,Biryani,Quick Bites,350,Budget,3.2,6,True,False,
8929,Tiwari's Ghee Paratha and Chats,Bengaluru,JP Nagar,"637, RBI Layout, RBI East Layout, JP Nagar 7th phase, JP Nagar, Bangalore",12.9063,77.5857,Bengaluru locality centroid,locality-level,"North Indian, Street Food",Quick Bites,200,Budget,3.2,6,True,False,
8930,Sri Ganesh Juice Junction,Bengaluru,Bellandur,"197, 40 Feet Road, Greenglen Layout, Behind HDFC Bank, Bellandur, Bangalore",12.9304,77.6784,Bengaluru locality centroid,locality-level,"Juices, Fast Food",Beverage Shop,200,Budget,3.5,6,True,False,
8931,BR Military Hotel,Bengaluru,Indiranagar,"47, Lakshmipuram, CMH Road, Indiranagar, Bangalore",12.9784,77.6408,Bengaluru locality centroid,locality-level,North Indian,Quick Bites,300,Budget,3.1,6,False,False,
8932,Delhi Home Food,Bengaluru,Koramangala 1st Block,"House 70, 13th cross, Venkatapura, Teachers Colony, Koramangala 1st Block, Bangalore",12.9279,77.6271,Bengaluru locality centroid,locality-level,"North Indian, South Indian",Quick Bites,200,Budget,3.3,6,False,False,
8933,Nisarga Restaurant,Bengaluru,Majestic,"20, 3rd Main Road, Gandhinagar, Majestic, Bangalore",12.9767,77.5713,Bengaluru locality centroid,locality-level,"Mangalorean, Chinese, North Indian, Seafood",Quick Bites,350,Budget,3.3,6,False,False,
